"id","gene"
"bna03410","BnaA06g13680D"
"bna04075","BnaA06g13620D"
"bna04141","BnaA06g13390D"
"bna00430","BnaA06g13350D"
"bna01100","BnaA06g13350D"
"bna00261","BnaA06g14140D"
"bna01100","BnaA06g14140D"
"bna01110","BnaA06g14140D"
"bna00920","BnaA06g14140D"
"bna00230","BnaA06g14140D"
"bna00450","BnaA06g14140D"
"bna04075","BnaA06g14040D"
"bna04141","BnaC01g16760D"
"bna04141","BnaA02g11680D"
"bna04141","BnaA01g14270D"
"bna04141","BnaA03g47010D"
"bna04141","BnaC02g16070D"
"bna04141","BnaA03g23500D"
"bna04141","BnaC03g27880D"
"bna04141","BnaC07g39190D"
"bna04145","BnaC01g16760D"
"bna04145","BnaA02g11680D"
"bna04145","BnaA01g14270D"
"bna04145","BnaA03g47010D"
"bna04145","BnaC02g16070D"
"bna04145","BnaA03g23500D"
"bna04145","BnaC03g27880D"
"bna04145","BnaC07g39190D"
"bna03060","BnaC01g16760D"
"bna03060","BnaA02g11680D"
"bna03060","BnaA01g14270D"
"bna03060","BnaA03g47010D"
"bna03060","BnaC02g16070D"
"bna03060","BnaA03g23500D"
"bna03060","BnaC03g27880D"
"bna03060","BnaC07g39190D"
"bna01100","BnaA01g26750D"
"bna00190","BnaA01g26750D"
"bna00920","BnaA06g14140D"
"bna00230","BnaA06g14140D"
"bna01100","BnaA06g14140D"
"bna00261","BnaA06g14140D"
"bna01110","BnaA06g14140D"
"bna00450","BnaA06g14140D"
"bna04120","BnaC05g15660D"
"bna04141","BnaC05g15660D"
"bna00190","BnaCnng20640D"
"bna01100","BnaCnng20640D"
"bna04145","BnaCnng20640D"
"bna01100","BnaCnng20650D"
"bna00330","BnaCnng20650D"
"bna00040","BnaA09g29000D"
"bna00520","BnaA09g29000D"
"bna01250","BnaA09g29000D"
"bna00053","BnaA09g29000D"
"bna01100","BnaA09g29000D"
"bna01240","BnaA09g29000D"
"bna03040","BnaA09g28880D"
"bna01100","BnaA09g28750D"
"bna00900","BnaA09g28750D"
"bna01110","BnaA09g28750D"
"bna00073","BnaA05g10200D"
"bna04141","BnaA05g10000D"
"bna00020","BnaC06g31170D"
"bna01110","BnaC06g31170D"
"bna01200","BnaC06g31170D"
"bna00010","BnaC06g31170D"
"bna00620","BnaC06g31170D"
"bna01100","BnaC06g31170D"
"bna03040","BnaC05g15890D"
"bna00510","BnaC05g15880D"
"bna01100","BnaC05g15880D"
"bna00051","BnaA06g38560D"
"bna00010","BnaA06g38560D"
"bna01100","BnaA06g38560D"
"bna00030","BnaA06g38560D"
"bna01110","BnaA06g38560D"
"bna03050","BnaA06g15450D"
"bna03050","BnaC05g17050D"
"bna01100","BnaA01g27800D"
"bna00240","BnaA01g27800D"
"bna00410","BnaA01g27800D"
"bna00770","BnaA01g27800D"
"bna01100","BnaA06g16150D"
"bna01110","BnaA06g16150D"
"bna00940","BnaA06g16150D"
"bna04626","BnaA01g27850D"
"bna03010","BnaA06g16250D"
"bna03060","BnaA06g16170D"
"bna03060","BnaC08g20790D"
"bna03010","BnaA06g38660D"
"bna01240","BnaA09g30250D"
"bna01100","BnaA09g30250D"
"bna00730","BnaA09g30250D"
"bna04145","BnaC03g75120D"
"bna04145","BnaA06g22200D"
"bna04145","BnaC03g56170D"
"bna04145","BnaC03g51550D"
"bna04814","BnaC03g75120D"
"bna04814","BnaA06g22200D"
"bna04814","BnaC03g56170D"
"bna04814","BnaC03g51550D"
"bna04144","BnaC03g57240D"
"bna01100","BnaCnng32750D"
"bna00040","BnaCnng32750D"
"bna00051","BnaCnng32750D"
"bna01100","BnaA06g20200D"
"bna00480","BnaA06g20200D"
"bna04814","BnaA06g20460D"
"bna04145","BnaC03g51550D"
"bna04145","BnaA06g22200D"
"bna04145","BnaC03g75120D"
"bna04145","BnaC03g56170D"
"bna04814","BnaC03g51550D"
"bna04814","BnaA06g22200D"
"bna04814","BnaC03g75120D"
"bna04814","BnaC03g56170D"
"bna00270","BnaCnng26130D"
"bna01100","BnaCnng26130D"
"bna01110","BnaA08g04920D"
"bna00592","BnaA08g04920D"
"bna01100","BnaCnng51060D"
"bna01110","BnaCnng51060D"
"bna00940","BnaCnng51060D"
"bna04144","BnaA06g24200D"
"bna03010","BnaA06g24150D"
"bna04075","BnaA06g24140D"
"bna01100","BnaAnng15120D"
"bna00410","BnaAnng15120D"
"bna00240","BnaAnng15120D"
"bna00770","BnaAnng15120D"
"bna01100","BnaA06g23420D"
"bna00790","BnaA06g23420D"
"bna01110","BnaA06g23420D"
"bna00740","BnaA06g23420D"
"bna01240","BnaA06g23420D"
"bna00940","BnaA06g23270D"
"bna01110","BnaA06g23270D"
"bna01100","BnaA06g23270D"
"bna01100","BnaA06g23190D"
"bna00195","BnaA06g23190D"
"bna04120","BnaCnng13320D"
"bna00710","BnaCnng13230D"
"bna01110","BnaCnng13230D"
"bna01200","BnaCnng13230D"
"bna00020","BnaCnng13230D"
"bna00010","BnaCnng13230D"
"bna01100","BnaCnng13230D"
"bna00620","BnaCnng13230D"
"bna04075","BnaCnng13150D"
"bna00450","BnaA03g53300D"
"bna03010","BnaA03g53350D"
"bna00920","BnaA06g25000D"
"bna01100","BnaA06g25000D"
"bna00230","BnaA06g25000D"
"bna00190","BnaA06g24940D"
"bna01100","BnaA06g24940D"
"bna00010","BnaA06g24600D"
"bna01110","BnaA06g24600D"
"bna00710","BnaA06g24600D"
"bna00020","BnaA06g24600D"
"bna01200","BnaA06g24600D"
"bna01100","BnaA06g24600D"
"bna00620","BnaA06g24600D"
"bna03010","BnaC07g03370D"
"bna03010","BnaA07g36200D"
"bna03010","BnaA06g25250D"
"bna01110","BnaC06g43510D"
"bna01250","BnaC06g43510D"
"bna00051","BnaC06g43510D"
"bna00500","BnaC06g43510D"
"bna01100","BnaC06g43510D"
"bna00520","BnaC06g43510D"
"bna04016","BnaC06g43530D"
"bna04070","BnaC06g43530D"
"bna04626","BnaC06g43530D"
"bna01200","BnaA06g25690D"
"bna01100","BnaA06g25690D"
"bna01230","BnaA06g25690D"
"bna00270","BnaA06g25690D"
"bna01110","BnaA06g25690D"
"bna00920","BnaA06g25690D"
"bna00543","BnaA06g25690D"
"bna01100","BnaA06g25630D"
"bna00330","BnaA06g25630D"
