ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,geneID_symbol,Count,FoldEnrich,RichFactor
GO:0005576,extracellular region,0.05473856209150327,420/13629,2.263971546995648e-6,8.55781244764355e-4,8.245622686952572e-4,,BnaC02g12030D/BnaA03g52510D/BnaA05g26480D/BnaC04g05770D/BnaA01g06730D/BnaAnng06430D/BnaA05g14430D/BnaC04g08400D/BnaCnng34970D/BnaC07g50680D/BnaAnng02980D/BnaA10g30190D,67,1.776266339869281,0.1595238095238095
GO:0031379,RNA-directed RNA polymerase complex,0.005718954248366013,12/13629,2.448375650831028e-5,0.0030849533200470953,0.002972413948026441,,,7,6.4953022875816995,0.5833333333333334
GO:0031380,nuclear RNA-directed RNA polymerase complex,0.005718954248366013,12/13629,2.448375650831028e-5,0.0030849533200470953,0.002972413948026441,,,7,6.4953022875816995,0.5833333333333334
