gene_id	gene_biotype
ENSRNA049465719	pre_miRNA
ENSRNA049465826	pre_miRNA
ENSRNA049465863	pre_miRNA
ENSRNA049466004	pre_miRNA
ENSRNA049466349	pre_miRNA
ENSRNA049466366	pre_miRNA
ENSRNA049466375	pre_miRNA
ENSRNA049466565	pre_miRNA
ENSRNA049466586	pre_miRNA
ENSRNA049466630	pre_miRNA
ENSRNA049466694	pre_miRNA
ENSRNA049466733	pre_miRNA
ENSRNA049466941	pre_miRNA
ENSRNA049467236	pre_miRNA
ENSRNA049467550	pre_miRNA
ENSRNA049467712	pre_miRNA
ENSRNA049467915	pre_miRNA
ENSRNA049467927	pre_miRNA
ENSRNA049468065	pre_miRNA
ENSRNA049468137	pre_miRNA
ENSRNA049468179	pre_miRNA
ENSRNA049468456	pre_miRNA
ENSRNA049468529	pre_miRNA
ENSRNA049468675	pre_miRNA
ENSRNA049468694	pre_miRNA
ENSRNA049468749	pre_miRNA
ENSRNA049468765	pre_miRNA
ENSRNA049468796	pre_miRNA
ENSRNA049468807	pre_miRNA
ENSRNA049468817	pre_miRNA
ENSRNA049468823	pre_miRNA
ENSRNA049468843	pre_miRNA
ENSRNA049469051	pre_miRNA
ENSRNA049469089	pre_miRNA
ENSRNA049469099	pre_miRNA
ENSRNA049469113	pre_miRNA
ENSRNA049469187	pre_miRNA
ENSRNA049469314	pre_miRNA
ENSRNA049469346	pre_miRNA
ENSRNA049469354	pre_miRNA
ENSRNA049469425	pre_miRNA
ENSRNA049469477	pre_miRNA
ENSRNA049469585	pre_miRNA
ENSRNA049469666	pre_miRNA
ENSRNA049469710	pre_miRNA
ENSRNA049470042	pre_miRNA
ENSRNA049470230	pre_miRNA
ENSRNA049470409	pre_miRNA
ENSRNA049470455	pre_miRNA
ENSRNA049470462	pre_miRNA
ENSRNA049470603	pre_miRNA
ENSRNA049470611	pre_miRNA
ENSRNA049470618	pre_miRNA
ENSRNA049470808	pre_miRNA
ENSRNA049470858	pre_miRNA
ENSRNA049470896	pre_miRNA
ENSRNA049471000	pre_miRNA
ENSRNA049471048	pre_miRNA
ENSRNA049471083	pre_miRNA
ENSRNA049471112	pre_miRNA
ENSRNA049471359	pre_miRNA
ENSRNA049471408	pre_miRNA
ENSRNA049471746	pre_miRNA
ENSRNA049471752	pre_miRNA
ENSRNA049471783	pre_miRNA
ENSRNA049471790	pre_miRNA
ENSRNA049471911	pre_miRNA
ENSRNA049471999	pre_miRNA
ENSRNA049472059	pre_miRNA
ENSRNA049472276	pre_miRNA
ENSRNA049472357	pre_miRNA
ENSRNA049472400	pre_miRNA
ENSRNA049472520	pre_miRNA
