Gen,Gen ID
BnaA09g04510D,GSBRNA2T00009548001
BnaA09g04690D,GSBRNA2T00009575001
BnaA09g04980D,GSBRNA2T00009609001
BnaA09g05060D,GSBRNA2T00009617001
BnaA09g02760D,GSBRNA2T00009793001
BnaA09g02720D,GSBRNA2T00009801001
BnaA09g02360D,GSBRNA2T00009847001
BnaA09g02240D,GSBRNA2T00009862001
BnaA09g01980D,GSBRNA2T00009894001
BnaA01g29270D,GSBRNA2T00009923001
BnaA01g29240D,GSBRNA2T00009926001
BnaA01g28610D,GSBRNA2T00010006001
BnaC09g30230D,GSBRNA2T00010111001
BnaC09g29940D,GSBRNA2T00010193001
BnaC09g29920D,GSBRNA2T00010197001
BnaA01g36310D,GSBRNA2T00010257001
BnaA05g35970D,GSBRNA2T00010329001
BnaA09g56680D,GSBRNA2T00010425001
BnaAnng35830D,GSBRNA2T00010563001
BnaAnng12450D,GSBRNA2T00010618001
BnaA09g57020D,GSBRNA2T00010901001
BnaAnng35900D,GSBRNA2T00010938001
BnaC04g52890D,GSBRNA2T00011139001
BnaA07g37870D,GSBRNA2T00011249001
BnaAnng36130D,GSBRNA2T00011356001
BnaAnng36210D,GSBRNA2T00011400001
BnaAnng12900D,GSBRNA2T00011506001
BnaA09g57180D,GSBRNA2T00011509001
BnaA06g38800D,GSBRNA2T00011530001
BnaA07g37420D,GSBRNA2T00011541001
BnaA07g38190D,GSBRNA2T00011680001
BnaCnng25840D,GSBRNA2T00011813001
BnaAnng36480D,GSBRNA2T00012103001
BnaC04g36710D,GSBRNA2T00012199001
BnaC04g36640D,GSBRNA2T00012213001
BnaC04g36290D,GSBRNA2T00012266001
BnaC01g24000D,GSBRNA2T00012313001
BnaC02g24210D,GSBRNA2T00012422001
BnaC02g24100D,GSBRNA2T00012459001
BnaC04g05620D,GSBRNA2T00012577001
BnaC07g11960D,GSBRNA2T00012645001
BnaC08g14670D,GSBRNA2T00012758001
BnaA02g08540D,GSBRNA2T00012920001
BnaC07g06600D,GSBRNA2T00013069001
BnaC05g26420D,GSBRNA2T00013138001
BnaC05g26280D,GSBRNA2T00013172001
BnaC05g26060D,GSBRNA2T00013221001
BnaC06g01480D,GSBRNA2T00013296001
BnaC06g01550D,GSBRNA2T00013308001
BnaC08g47290D,GSBRNA2T00013339001
BnaC07g50830D,GSBRNA2T00013759001
BnaC07g50850D,GSBRNA2T00013761001
BnaC02g47410D,GSBRNA2T00013808001
BnaCnng26710D,GSBRNA2T00013887001
BnaCnng26730D,GSBRNA2T00013889001
BnaC06g07290D,GSBRNA2T00013942001
BnaC09g53690D,GSBRNA2T00013982001
BnaC04g56610D,GSBRNA2T00014087001
BnaC02g45540D,GSBRNA2T00014102001
BnaC02g45560D,GSBRNA2T00014105001
BnaC08g49050D,GSBRNA2T00014168001
BnaAnng37030D,GSBRNA2T00014218001
BnaCnng27260D,GSBRNA2T00014291001
BnaC01g42320D,GSBRNA2T00014511001
BnaAnng37230D,GSBRNA2T00014550001
BnaCnng72700D,GSBRNA2T00014561001
BnaCnng27540D,GSBRNA2T00014598001
BnaA06g40970D,GSBRNA2T00014673001
BnaAnng37370D,GSBRNA2T00014737001
BnaC02g48550D,GSBRNA2T00014796001
BnaCnng27730D,GSBRNA2T00014914001
BnaCnng72950D,GSBRNA2T00015043001
BnaA08g24880D,GSBRNA2T00015200001
BnaA08g24680D,GSBRNA2T00015225001
BnaA08g24430D,GSBRNA2T00015256001
BnaA08g24390D,GSBRNA2T00015260001
BnaA08g24270D,GSBRNA2T00015275001
BnaA01g33660D,GSBRNA2T00015321001
BnaA01g33760D,GSBRNA2T00015332001
BnaA01g33880D,GSBRNA2T00015346001
BnaC03g30020D,GSBRNA2T00015659001
BnaC03g30060D,GSBRNA2T00015664001
BnaA09g30650D,GSBRNA2T00015724001
BnaA09g30240D,GSBRNA2T00015781001
BnaA09g30170D,GSBRNA2T00015791001
BnaC03g27330D,GSBRNA2T00015870001
BnaC03g27180D,GSBRNA2T00015895001
BnaC03g26960D,GSBRNA2T00015934001
BnaC09g47460D,GSBRNA2T00015999001
BnaC09g47360D,GSBRNA2T00016009001
BnaC09g47290D,GSBRNA2T00016022001
BnaC09g47240D,GSBRNA2T00016029001
BnaC09g47160D,GSBRNA2T00016039001
BnaC09g46970D,GSBRNA2T00016062001
BnaC09g46740D,GSBRNA2T00016088001
BnaA09g44170D,GSBRNA2T00016151001
BnaA09g44740D,GSBRNA2T00016222001
BnaA09g45010D,GSBRNA2T00016257001
BnaA09g45200D,GSBRNA2T00016280001
BnaA06g20450D,GSBRNA2T00016296001
BnaA06g20560D,GSBRNA2T00016319001
BnaA06g20750D,GSBRNA2T00016352001
BnaA06g20780D,GSBRNA2T00016360001
BnaA06g20870D,GSBRNA2T00016380001
BnaA02g34760D,GSBRNA2T00016389001
BnaA02g34830D,GSBRNA2T00016400001
BnaAnng13720D,GSBRNA2T00016476001
BnaCnng28410D,GSBRNA2T00016502001
BnaC02g44970D,GSBRNA2T00016592001
BnaCnng73240D,GSBRNA2T00016749001
BnaA04g29190D,GSBRNA2T00016831001
BnaC08g46330D,GSBRNA2T00016842001
BnaAnng37790D,GSBRNA2T00016898001
BnaA05g34380D,GSBRNA2T00016976001
BnaA05g34430D,GSBRNA2T00016981001
BnaA04g29520D,GSBRNA2T00017002001
