"","Crep1","Crep2","Crep3","Trep1","Trep2","Trep3","PErep1","PErep2","VMrep1","VMrep2","VMrep3"
"GO:0000002",0.0375405906672752,-0.714659612997007,-0.124199403264018,-0.0380064488550206,-0.427251740500838,-0.456492985106433,-0.358677306448193,-0.50197877004174,0.246647254377994,0.519993114157385,0.503154172749465
"GO:0000003",0.0327794555562095,0.00175732113758144,-0.00209119578853292,0.0699668175529424,-0.00188768649064291,-0.00961494306398711,-0.0150268984822361,0.0142763458701109,0.0240588919063009,-0.0481920961707438,-0.00722474286469146
"GO:0000012",-0.257058319737298,-0.597689035637599,-0.0583229252979942,-0.389877262088565,-0.601130730520087,-0.138836995726552,-0.123525078685173,-0.285037183489456,0.266870190447628,0.526418744894928,0.607274041643384
"GO:0000018",-0.113938380507474,0.0179216816353936,-0.175262900990352,-0.0195702209436023,0.0143542513945044,-0.217625229222372,-0.503416355917209,-0.529000719145537,0.19812500315599,0.263786278046933,0.449063117351572
"GO:0000019",-0.00519619659894111,-0.603990893262641,-0.939118789337798,0.00589259408004073,0.542600776751135,0.245346189901998,-0.695299316993476,0.0461497254581617,0.00179456274214823,0.405303334672549,0.74083299852682
"GO:0000027",-0.129061963129104,-0.465797296411014,-0.204827181101106,0.151417028513907,0.0807886673425372,-0.0579583159366567,-0.495630233753895,-0.571496884456516,0.116567040121518,0.394796516596556,0.575848068043589
"GO:0000028",-0.373290517113819,-0.402258221904435,-0.326137278187921,-0.109640235997956,0.142674665555613,-0.136879027236812,-0.497974055507291,-0.437181190181195,0.217627848583967,0.409460841916651,0.592237885393592
"GO:0000032",0.0754836905782998,0.275715293952088,-0.180940133089818,0.404872234424695,0.302284780629071,-0.0838779664643641,0.068956362052278,-0.70168279487934,-0.33471650383979,-0.464672630650439,0.277543873777727
"GO:0000038",-0.314011331352974,0.16085892299294,-0.368830059713287,-0.0203940802445522,-0.231552141546264,-0.340881015155907,0.125450639150913,0.200392024640562,0.12617661720205,0.387305477632803,0.103100391642565
"GO:0000041",-0.0637839734611978,0.12087146754994,0.134700815389726,0.0423530564140135,0.0747505557710771,-0.0915949873717893,-0.0978512430064612,0.0740061051082979,-0.0564414128822466,-0.161007526908067,0.0362369552208966
"GO:0000045",-0.130012096440144,-0.314623914368994,-0.224141278516932,-0.327763480441274,-0.223417783087055,-0.468404927665031,0.150778801619166,-0.0165780372626102,0.242860349760553,0.343769666110765,0.322139244102288
"GO:0000050",-0.76939314298979,0.252788302207199,-0.593362685893293,-0.480695063765029,0.39005934668624,-0.687889147190847,-0.243439056230068,-0.138242139177709,0.231062838163856,0.782751125604121,0.847354102166407
"GO:0000053",-0.76939314298979,0.252788302207199,-0.593362685893293,-0.480695063765029,0.39005934668624,-0.687889147190847,-0.243439056230068,-0.138242139177709,0.231062838163856,0.782751125604121,0.847354102166407
"GO:0000054",-0.140309559136912,-0.198218415264794,-0.117311028344046,-0.19027937910871,-0.221496897924677,-0.390907841103086,-0.276342139132797,-0.430066705487144,0.240049608597743,0.401431669693657,0.45079053592639
"GO:0000055",-0.134221110899895,-0.208860063307678,-0.180729157025834,-0.140157647303674,-0.348940709143551,-0.46857607027855,-0.222848847572452,-0.388878175905103,0.261283277325969,0.460630908759652,0.467792210630609
"GO:0000056",0.159163156563127,-0.175503917498461,-0.483081405904361,0.0122681309847324,-0.475880829602772,-0.561883077748048,-0.0572659801665955,-0.584755838517521,0.439797341007571,0.413887265343148,0.51204714390958
"GO:0000070",0.0206451785303917,-0.203003853122108,-0.206901021243522,-0.340983936480714,-0.365633586456166,-0.417885512650034,-0.0742309777254224,-0.402510945004289,0.339791258498855,0.461397890341556,0.460579507090968
"GO:0000075",-0.189799345073285,-0.214391149586289,-0.176662931299368,-0.222414059921903,-0.282900486487852,-0.444104029730531,-0.125925437774526,-0.367945792753761,0.353929256038693,0.362604736625131,0.478031332322242
"GO:0000076",-0.343448254434153,-0.283230379581494,-0.268899139619529,-0.156477757342007,-0.0956750395333966,-0.47742267734683,-0.553011313303793,-0.46253497439066,0.458647417085433,0.522011535982874,0.621031474032326
"GO:0000077",-0.352749552745306,-0.222347522000066,-0.258352182117157,-0.335922200671577,-0.485904030421215,-0.492776982066118,-0.119881350800193,-0.222565745548671,0.539322799392263,0.41789523784738,0.541355386152483
"GO:0000079",-0.118410976149127,-0.0643910133717954,-0.164314787818686,-0.0799842312729824,-0.0849453564269365,0.114691804442189,-0.123522322541822,-0.135113505596419,0.227521621994525,0.304986573217373,-0.110586778304095
"GO:0000082",-0.0705143432145163,0.00887247435186733,-0.204888200514754,-0.0106588149964874,-0.150640951655069,-0.255758118854778,-0.342865643258877,-0.451171008755272,0.171194513029779,0.36019256034036,0.411334152047024
"GO:0000086",-0.153475820216625,0.167810456587082,-0.153624694352441,-0.35272852802274,-0.349341081815046,-0.396061755213902,-0.364544475701117,-0.340261358467686,0.0630049994202362,0.350323134956633,0.586418073842019
"GO:0000096",-0.256042664495966,-0.0999109342929794,-0.130839568372132,0.117326042447987,-0.0363568641521846,-0.231567309360215,-0.114079363664019,-0.15706339758472,0.132691744474124,0.0606596046562475,0.300670868712761
