,PErep1,PErep2,PErep3,VMrep1,VMrep2,VMrep3,Crep1,Crep2,Crep3,Trep1,Trep2,Trep3
no feature,2204186,3177807,1843969,2354209,2598213,2411558,1964378,1789358,1862073,2041553,2567193,2485800
ambiguous,935938,1227079,746001,811401,802959,839284,1027781,1065142,927916,952246,1211173,1230211
too_low_aQual,2952487,3953547,2910657,3165040,3213361,3234773,3069941,3396851,2711320,2898555,4048979,3796305
not aligned,2127583,3052701,2336210,2357209,2600618,2511837,1947987,2165451,1913663,1976207,2772767,2474614
alignment not unique,2966312,4245071,1574444,1799175,1823082,1873512,2577021,2454358,2479659,2322435,2966461,2884926
# VM :  Vacuolated Microspore with 32ºC heat stress treatment ,,,,,,,,,,,,
"# PE/C : Proembryos without HDACi (SAHA) treatment, 32ºC heat stress treatment",,,,,,,,,,,,
# T : Proembryos with HDACi treatment (SAHA 2.5 ?M) and 32ºC  heat stress treatment,,,,,,,,,,,,
