gene_id,VMrep1,VMrep2,VMrep3,Trep1,Trep2,Trep3
ENSRNA049436427,0,0,0,0,0,0
ENSRNA049436458,0,0,0,0,0,0
ENSRNA049436512,0,0,0,0,0,0
ENSRNA049436518,0,0,0,0,0,0
ENSRNA049436539,0,0,0,0,0,0
ENSRNA049436548,0,0,0,0,0,0
ENSRNA049436565,0,0,0,0,0,0
ENSRNA049436576,0,0,0,0,0,0
ENSRNA049436582,0,0,1,0,0,0
ENSRNA049436592,0,0,0,0,0,0
ENSRNA049436615,0,0,0,0,0,0
ENSRNA049436636,0,0,0,0,0,0
ENSRNA049436665,0,0,0,0,0,0
ENSRNA049436681,0,0,0,0,0,0
ENSRNA049436768,0,0,0,0,0,0
ENSRNA049436783,0,0,0,0,0,0
ENSRNA049436808,0,0,0,0,0,0
ENSRNA049436839,0,0,0,0,0,0
ENSRNA049436845,0,0,0,0,0,0
ENSRNA049436872,0,0,0,0,0,0
ENSRNA049436880,0,0,0,0,0,0
ENSRNA049436891,0,0,0,0,0,0
ENSRNA049436921,0,0,0,0,0,0
ENSRNA049436931,0,0,0,0,0,0
ENSRNA049436938,0,0,0,0,0,0
ENSRNA049436964,0,0,0,0,0,0
ENSRNA049437006,0,0,0,0,0,0
ENSRNA049437012,0,0,0,0,0,0
ENSRNA049437018,0,0,0,0,0,0
ENSRNA049437043,0,0,0,0,0,0
ENSRNA049437049,0,6,0,0,0,0
ENSRNA049437058,0,0,0,0,0,0
ENSRNA049437065,0,0,0,0,0,0
ENSRNA049437070,0,0,0,0,0,0
ENSRNA049437078,0,0,0,0,0,0
ENSRNA049437083,0,0,0,0,0,0
ENSRNA049437088,0,0,0,0,0,0
ENSRNA049437096,0,0,0,0,0,0
ENSRNA049437106,0,0,0,0,0,0
ENSRNA049437110,0,0,1,0,0,0
ENSRNA049437131,0,0,0,0,0,0
ENSRNA049437148,0,0,0,0,0,0
ENSRNA049437152,0,1,0,0,0,0
ENSRNA049437189,0,0,0,0,0,0
ENSRNA049437192,0,0,0,0,0,0
ENSRNA049437219,0,0,0,0,0,0
ENSRNA049437229,0,0,0,0,0,0
ENSRNA049437245,0,0,0,0,0,0
ENSRNA049437257,0,0,0,0,0,0
ENSRNA049437278,0,0,0,0,0,0
ENSRNA049437283,0,0,0,0,0,0
ENSRNA049437303,0,0,0,0,0,0
ENSRNA049437306,0,0,0,0,0,0
ENSRNA049437309,0,0,0,0,0,0
ENSRNA049437312,0,0,0,0,0,0
ENSRNA049437335,0,0,0,0,0,0
ENSRNA049437339,0,0,0,0,0,0
ENSRNA049437356,0,0,0,0,0,5
ENSRNA049437364,0,0,0,0,0,0
ENSRNA049437372,0,1,0,0,0,0
ENSRNA049437376,0,0,0,0,0,0
ENSRNA049437384,0,0,0,0,0,0
ENSRNA049437408,0,0,0,0,0,0
ENSRNA049437414,0,0,0,0,0,0
ENSRNA049437416,0,0,0,0,0,0
ENSRNA049437428,0,0,0,0,0,0
ENSRNA049437432,9,6,8,0,0,4
ENSRNA049437487,0,0,0,0,0,0
ENSRNA049437488,0,0,0,0,0,0
ENSRNA049437490,0,0,0,0,0,0
ENSRNA049437550,0,0,0,0,0,0
ENSRNA049437564,0,0,0,0,0,0
ENSRNA049437580,0,0,0,0,0,0
ENSRNA049437608,0,0,0,0,0,0
ENSRNA049437645,0,0,0,0,0,0
ENSRNA049437666,0,0,0,0,0,0
